epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,289.196,2.16603,5.37466,0.00785,0.46266,0.54613,0.46819,0.21687,1.60199,1.78113,0.00686,0.00995238,0.00331746,0.00995238,0.00331746,0.0767778,0.0701429,0.00995238,0.00331746
2,569.812,1.89136,2.36374,0.0066,0.42345,0.34063,0.31792,0.11694,2.00368,2.55932,0.01055,0.0198207,0.0066069,0.0198207,0.0066069,0.0533128,0.040099,0.0198207,0.0066069
3,850.487,1.90761,2.07373,0.00675,0.48686,0.42838,0.43212,0.16846,1.92682,3.29343,0.00871,0.029557,0.00985234,0.029557,0.00985234,0.0297157,0.0100111,0.029557,0.00985234
4,1130.2,1.90321,1.96098,0.00674,0.50809,0.42515,0.41899,0.16785,2.13754,2.35836,0.01,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1410.67,1.87521,1.87152,0.00661,0.4977,0.58225,0.55375,0.21373,2.00833,1.58144,0.00901,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1692.04,1.84082,1.7736,0.00634,0.66887,0.69304,0.72718,0.33895,1.6239,1.27293,0.00726,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1970.19,1.81342,1.6987,0.00626,0.61601,0.67633,0.69525,0.33276,1.61853,1.35079,0.00723,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,2250.62,1.80323,1.62392,0.00629,0.68159,0.71687,0.75531,0.38785,1.55763,1.19918,0.00676,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,2531.54,1.78119,1.60724,0.00616,0.67919,0.78328,0.79782,0.40931,1.58676,1.11009,0.00698,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,2813.56,1.77018,1.56239,0.00606,0.71567,0.75798,0.76477,0.37351,1.61443,1.1119,0.00706,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
